# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.851
 8.8571      0.026         10.210
 8.7857      0.032         12.537
 8.7143      0.038         14.826
 8.6429      0.045         17.070
 8.5714      0.051         19.259
 8.5000      0.057         21.382
 8.4286      0.063         23.421
 8.3571      0.069         25.350
 8.2857      0.075         27.127
 8.2143      0.082         28.679
 8.1429      0.088         29.856
 8.0714      0.094         30.240
 8.0000      0.100         26.470
