# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.198
 8.8571      0.026          8.867
 8.7857      0.032         10.509
 8.7143      0.038         12.119
 8.6429      0.045         13.692
 8.5714      0.051         15.220
 8.5000      0.057         16.693
 8.4286      0.063         18.099
 8.3571      0.069         19.417
 8.2857      0.075         20.616
 8.2143      0.082         21.644
 8.1429      0.088         22.397
 8.0714      0.094         22.616
 8.0000      0.100         21.014
