# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.302
 8.8571      0.026         11.765
 8.7857      0.032         15.183
 8.7143      0.038         18.551
 8.6429      0.045         21.858
 8.5714      0.051         25.092
 8.5000      0.057         28.236
 8.4286      0.063         31.268
 8.3571      0.069         34.150
 8.2857      0.075         36.827
 8.2143      0.082         39.198
 8.1429      0.088         41.052
 8.0714      0.094         41.796
 8.0000      0.100         35.185
