# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.906
 8.8571      0.026         10.280
 8.7857      0.032         12.619
 8.7143      0.038         14.919
 8.6429      0.045         17.172
 8.5714      0.051         19.368
 8.5000      0.057         21.495
 8.4286      0.063         23.535
 8.3571      0.069         25.461
 8.2857      0.075         27.231
 8.2143      0.082         28.770
 8.1429      0.088         29.928
 8.0714      0.094         30.291
 8.0000      0.100         26.850
