# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.391
 8.8571      0.026         11.994
 8.7857      0.032         15.553
 8.7143      0.038         19.059
 8.6429      0.045         22.502
 8.5714      0.051         25.872
 8.5000      0.057         29.148
 8.4286      0.063         32.309
 8.3571      0.069         35.316
 8.2857      0.075         38.112
 8.2143      0.082         40.591
 8.1429      0.088         42.539
 8.0714      0.094         43.338
 8.0000      0.100         36.295
