# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020         10.877
 8.8571      0.026         11.864
 8.7857      0.032         12.830
 8.7143      0.038         13.774
 8.6429      0.045         14.692
 8.5714      0.051         15.578
 8.5000      0.057         16.426
 8.4286      0.063         17.229
 8.3571      0.069         17.974
 8.2857      0.075         18.643
 8.2143      0.082         19.209
 8.1429      0.088         19.624
 8.0714      0.094         19.791
 8.0000      0.100         19.456
