# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.148
 8.8571      0.026         12.495
 8.7857      0.032         16.794
 8.7143      0.038         21.036
 8.6429      0.045         25.210
 8.5714      0.051         29.304
 8.5000      0.057         33.297
 8.4286      0.063         37.162
 8.3571      0.069         40.860
 8.2857      0.075         44.325
 8.2143      0.082         47.440
 8.1429      0.088         49.960
 8.0714      0.094         51.177
 8.0000      0.100         41.122
