# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.945
 8.8571      0.026         10.182
 8.7857      0.032         12.386
 8.7143      0.038         14.552
 8.6429      0.045         16.672
 8.5714      0.051         18.739
 8.5000      0.057         20.740
 8.4286      0.063         22.657
 8.3571      0.069         24.466
 8.2857      0.075         26.125
 8.2143      0.082         27.564
 8.1429      0.088         28.640
 8.0714      0.094         28.966
 8.0000      0.100         25.849
