# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.754
 8.8571      0.026         12.300
 8.7857      0.032         15.802
 8.7143      0.038         19.251
 8.6429      0.045         22.637
 8.5714      0.051         25.950
 8.5000      0.057         29.171
 8.4286      0.063         32.275
 8.3571      0.069         35.227
 8.2857      0.075         37.967
 8.2143      0.082         40.394
 8.1429      0.088         42.290
 8.0714      0.094         43.045
 8.0000      0.100         36.274
