# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020         11.303
 8.8571      0.026         14.968
 8.7857      0.032         18.588
 8.7143      0.038         22.155
 8.6429      0.045         25.659
 8.5714      0.051         29.087
 8.5000      0.057         32.421
 8.4286      0.063         35.637
 8.3571      0.069         38.695
 8.2857      0.075         41.535
 8.2143      0.082         44.049
 8.1429      0.088         46.009
 8.0714      0.094         46.767
 8.0000      0.100         39.507
