# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.575
 8.8571      0.026         11.784
 8.7857      0.032         14.951
 8.7143      0.038         18.069
 8.6429      0.045         21.128
 8.5714      0.051         24.118
 8.5000      0.057         27.022
 8.4286      0.063         29.818
 8.3571      0.069         32.471
 8.2857      0.075         34.927
 8.2143      0.082         37.091
 8.1429      0.088         38.764
 8.0714      0.094         39.389
 8.0000      0.100         33.665
