# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.218
 8.8571      0.026          9.928
 8.7857      0.032         12.600
 8.7143      0.038         15.229
 8.6429      0.045         17.806
 8.5714      0.051         20.321
 8.5000      0.057         22.760
 8.4286      0.063         25.103
 8.3571      0.069         27.321
 8.2857      0.075         29.367
 8.2143      0.082         31.159
 8.1429      0.088         32.529
 8.0714      0.094         33.012
 8.0000      0.100         28.730
