# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.065
 8.8571      0.026         11.110
 8.7857      0.032         14.117
 8.7143      0.038         17.078
 8.6429      0.045         19.986
 8.5714      0.051         22.829
 8.5000      0.057         25.592
 8.4286      0.063         28.256
 8.3571      0.069         30.787
 8.2857      0.075         33.135
 8.2143      0.082         35.210
 8.1429      0.088         36.826
 8.0714      0.094         37.454
 8.0000      0.100         31.704
