 lambda   Irr_dw            Rad_up 
 630.512  1.3839736621e+00  5.9800145253e-02 
 631.338  1.3768821831e+00  5.9596580657e-02 
 632.164  1.3733220988e+00  5.9536681402e-02 
 632.991  1.3737621396e+00  5.9664561843e-02 
 633.817  1.3744297091e+00  5.9804838897e-02 
 634.643  1.3726145555e+00  5.9817809491e-02 
 635.470  1.3703769962e+00  5.9792105173e-02 
 636.296  1.3716911846e+00  5.9912790745e-02 
 637.122  1.3766882209e+00  6.0190568197e-02 
 637.948  1.3801196609e+00  6.0392403865e-02 
 638.775  1.3771943414e+00  6.0308367056e-02 
 639.601  1.3692191274e+00  5.9997834598e-02 
 640.427  1.3615184378e+00  5.9685718018e-02 
 641.253  1.3576323674e+00  5.9509270038e-02 
 642.079  1.3573496378e+00  5.9445071518e-02 
 642.905  1.3584286575e+00  5.9386124125e-02 
 643.732  1.3583708241e+00  5.9204583982e-02 
 644.558  1.3558380810e+00  5.8808485563e-02 
 645.384  1.3518552775e+00  5.8227090898e-02 
 646.210  1.3493678082e+00  5.7644564643e-02 
 647.036  1.3496511551e+00  5.7243035039e-02 
 647.862  1.3493625577e+00  5.7010009945e-02 
 648.688  1.3442659630e+00  5.6813104898e-02 
 649.514  1.3365200559e+00  5.6658641852e-02 
 650.340  1.3337177160e+00  5.6704931315e-02 
 651.166  1.3384080654e+00  5.6967349723e-02 
 651.992  1.3442709050e+00  5.7220654499e-02 
 652.818  1.3427789756e+00  5.7163686676e-02 
 653.644  1.3273052602e+00  5.6495554825e-02 
 654.470  1.2951229651e+00  5.5075176481e-02 
 655.296  1.2549033488e+00  5.3317566627e-02 
 656.122  1.2283502800e+00  5.2212360094e-02 
 656.948  1.2323500075e+00  5.2493909398e-02 
 657.774  1.2606800100e+00  5.3863228905e-02 
 658.599  1.2924102719e+00  5.5385175236e-02 
 659.425  1.3141586841e+00  5.6469108938e-02 
 660.251  1.3258853531e+00  5.7111058944e-02 
 661.077  1.3318273740e+00  5.7481995031e-02 
 661.903  1.3335472139e+00  5.7628365135e-02 
 662.728  1.3310353389e+00  5.7545047902e-02 
 663.554  1.3261222569e+00  5.7332000028e-02 
 664.380  1.3220595199e+00  5.7155069604e-02 
 665.206  1.3200628111e+00  5.7077127357e-02 
 666.031  1.3187269331e+00  5.7034045543e-02 
 666.857  1.3172935328e+00  5.6988222994e-02 
 667.683  1.3168006511e+00  5.6981074607e-02 
 668.508  1.3171065343e+00  5.6998086467e-02 
 669.334  1.3158892041e+00  5.6930253704e-02 
1182.792  4.3038831940e-01  1.4140517086e-02 
1188.701  4.2575547093e-01  1.4007466854e-02 
1194.595  4.2932864852e-01  1.4306744129e-02 
1200.475  4.1809535161e-01  1.3797334744e-02 
1206.341  4.1779277937e-01  1.4077897656e-02 
1212.193  4.1310415910e-01  1.3883849227e-02 
1218.030  4.1278114529e-01  1.4240158692e-02 
1223.854  4.0828668156e-01  1.4209415979e-02 
1229.663  4.0469676009e-01  1.4374820465e-02 
1235.458  4.0047282533e-01  1.4405827348e-02 
1241.240  3.9529688188e-01  1.4329002084e-02 
1247.008  3.9171623874e-01  1.4176495861e-02 
1252.762  3.8576376817e-01  1.3718386432e-02 
1258.503  3.8002596727e-01  1.3068147521e-02 
1264.230  3.7089312442e-01  1.2257890144e-02 
1269.944  3.6775314706e-01  1.2153337717e-02 
1275.644  3.6942069167e-01  1.2525633785e-02 
1281.331  3.4538003038e-01  1.1918560533e-02 
1287.004  3.6215241307e-01  1.2546033037e-02 
1292.665  3.6022545342e-01  1.2234876992e-02 
1298.312  3.5723596172e-01  1.1770277264e-02 
1503.952  2.3807800345e-01  5.3110597191e-03 
1509.148  2.4960843045e-01  5.9005066802e-03 
1514.333  2.4736511110e-01  6.0416462234e-03 
1519.509  2.4675675470e-01  6.1221620807e-03 
1524.675  2.4463737246e-01  6.2943301208e-03 
1529.831  2.4051865928e-01  6.1931685208e-03 
1534.978  2.4051736701e-01  6.1381136875e-03 
1540.114  2.3657724025e-01  6.2102074698e-03 
1545.242  2.3934208771e-01  6.3615964382e-03 
1550.360  2.3506406465e-01  6.3486644396e-03 
1555.468  2.3041596934e-01  6.2205214240e-03 
1560.567  2.3197183844e-01  6.4286563174e-03 
1565.657  2.2731339621e-01  6.2532449495e-03 
1570.738  2.2345510671e-01  6.1387582857e-03 
1575.809  2.1306337768e-01  5.9601651137e-03 
1580.872  2.2028040375e-01  6.1126861584e-03 
1585.926  2.1818337136e-01  6.1823944200e-03 
1590.971  2.1022294277e-01  6.0482937357e-03 
1596.007  2.1542272836e-01  6.2341474304e-03 
1601.035  2.1162201065e-01  6.1172841304e-03 
1606.054  2.1042682022e-01  6.2437977796e-03 
1611.064  2.0504524422e-01  6.0362101757e-03 
1616.066  2.0524606083e-01  6.0380557438e-03 
1621.060  2.0521666491e-01  6.1903753899e-03 
1626.045  2.0881067669e-01  6.3704841328e-03 
1631.023  2.0699733335e-01  6.3265442372e-03 
1635.992  2.0150044107e-01  6.0020997746e-03 
1640.954  1.9347999334e-01  5.6510307229e-03 
1645.907  1.9668316371e-01  5.9436645396e-03 
1650.852  1.9631277686e-01  5.9530916086e-03 
1655.790  1.9636798307e-01  5.9793845203e-03 
1660.720  1.9576697069e-01  5.9465955693e-03 
1665.643  1.9156579811e-01  5.6717982125e-03 
1670.558  1.8984257966e-01  5.7879809411e-03 
1675.466  1.8619761308e-01  5.8705538533e-03 
1680.366  1.7720068381e-01  5.6148476895e-03 
1685.259  1.8288565086e-01  5.7685310760e-03 
1690.145  1.8246008681e-01  5.6614499437e-03 
1695.024  1.8276095004e-01  5.6907656889e-03 
1699.896  1.7977669503e-01  5.4644442886e-03 
