# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020         10.258
 8.8571      0.026         11.441
 8.7857      0.032         12.600
 8.7143      0.038         13.733
 8.6429      0.045         14.833
 8.5714      0.051         15.898
 8.5000      0.057         16.918
 8.4286      0.063         17.884
 8.3571      0.069         18.782
 8.2857      0.075         19.592
 8.2143      0.082         20.281
 8.1429      0.088         20.792
 8.0714      0.094         21.012
 8.0000      0.100         20.629
