# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.250
 8.8571      0.026         10.528
 8.7857      0.032         12.773
 8.7143      0.038         14.978
 8.6429      0.045         17.138
 8.5714      0.051         19.242
 8.5000      0.057         21.279
 8.4286      0.063         23.230
 8.3571      0.069         25.070
 8.2857      0.075         26.758
 8.2143      0.082         28.221
 8.1429      0.088         29.314
 8.0714      0.094         29.641
 8.0000      0.100         26.495
