# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.898
 8.8571      0.026         10.563
 8.7857      0.032         13.191
 8.7143      0.038         15.777
 8.6429      0.045         18.312
 8.5714      0.051         20.786
 8.5000      0.057         23.186
 8.4286      0.063         25.492
 8.3571      0.069         27.675
 8.2857      0.075         29.688
 8.2143      0.082         31.450
 8.1429      0.088         32.794
 8.0714      0.094         33.255
 8.0000      0.100         28.946
