# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.719
 8.8571      0.026         10.729
 8.7857      0.032         13.700
 8.7143      0.038         16.625
 8.6429      0.045         19.495
 8.5714      0.051         22.300
 8.5000      0.057         25.025
 8.4286      0.063         27.647
 8.3571      0.069         30.137
 8.2857      0.075         32.443
 8.2143      0.082         34.475
 8.1429      0.088         36.049
 8.0714      0.094         36.644
 8.0000      0.100         31.269
