# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.261
 8.8571      0.026          9.989
 8.7857      0.032         12.680
 8.7143      0.038         15.327
 8.6429      0.045         17.924
 8.5714      0.051         20.459
 8.5000      0.057         22.920
 8.4286      0.063         25.285
 8.3571      0.069         27.527
 8.2857      0.075         29.598
 8.2143      0.082         31.416
 8.1429      0.088         32.813
 8.0714      0.094         33.317
 8.0000      0.100         28.772
