# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.836
 8.8571      0.026         12.540
 8.7857      0.032         16.197
 8.7143      0.038         19.801
 8.6429      0.045         23.341
 8.5714      0.051         26.805
 8.5000      0.057         30.173
 8.4286      0.063         33.422
 8.3571      0.069         36.514
 8.2857      0.075         39.388
 8.2143      0.082         41.937
 8.1429      0.088         43.937
 8.0714      0.094         44.755
 8.0000      0.100         37.498
