# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.220
 8.8571      0.026         11.743
 8.7857      0.032         15.221
 8.7143      0.038         18.647
 8.6429      0.045         22.013
 8.5714      0.051         25.305
 8.5000      0.057         28.507
 8.4286      0.063         31.594
 8.3571      0.069         34.530
 8.2857      0.075         37.259
 8.2143      0.082         39.677
 8.1429      0.088         41.574
 8.0714      0.094         42.346
 8.0000      0.100         35.539
