# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.899
 8.8571      0.026         10.121
 8.7857      0.032         12.311
 8.7143      0.038         14.463
 8.6429      0.045         16.571
 8.5714      0.051         18.625
 8.5000      0.057         20.613
 8.4286      0.063         22.519
 8.3571      0.069         24.317
 8.2857      0.075         25.967
 8.2143      0.082         27.398
 8.1429      0.088         28.470
 8.0714      0.094         28.794
 8.0000      0.100         25.669
