# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          6.768
 8.8571      0.026          8.385
 8.7857      0.032          9.975
 8.7143      0.038         11.532
 8.6429      0.045         13.052
 8.5714      0.051         14.527
 8.5000      0.057         15.948
 8.4286      0.063         17.302
 8.3571      0.069         18.570
 8.2857      0.075         19.722
 8.2143      0.082         20.710
 8.1429      0.088         21.438
 8.0714      0.094         21.678
 8.0000      0.100         20.429
