# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          6.975
 8.8571      0.026          8.507
 8.7857      0.032         10.014
 8.7143      0.038         11.493
 8.6429      0.045         12.937
 8.5714      0.051         14.341
 8.5000      0.057         15.695
 8.4286      0.063         16.988
 8.3571      0.069         18.200
 8.2857      0.075         19.303
 8.2143      0.082         20.248
 8.1429      0.088         20.938
 8.0714      0.094         21.128
 8.0000      0.100         19.561
