# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.973
 8.8571      0.026         10.290
 8.7857      0.032         12.573
 8.7143      0.038         14.818
 8.6429      0.045         17.016
 8.5714      0.051         19.160
 8.5000      0.057         21.235
 8.4286      0.063         23.225
 8.3571      0.069         25.103
 8.2857      0.075         26.828
 8.2143      0.082         28.327
 8.1429      0.088         29.452
 8.0714      0.094         29.800
 8.0000      0.100         26.468
