# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.117
 8.8571      0.026         11.119
 8.7857      0.032         14.081
 8.7143      0.038         16.996
 8.6429      0.045         19.856
 8.5714      0.051         22.650
 8.5000      0.057         25.361
 8.4286      0.063         27.970
 8.3571      0.069         30.443
 8.2857      0.075         32.729
 8.2143      0.082         34.739
 8.1429      0.088         36.286
 8.0714      0.094         36.849
 8.0000      0.100         31.702
