# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          6.881
 8.8571      0.026          8.491
 8.7857      0.032         10.075
 8.7143      0.038         11.632
 8.6429      0.045         13.155
 8.5714      0.051         14.637
 8.5000      0.057         16.070
 8.4286      0.063         17.442
 8.3571      0.069         18.732
 8.2857      0.075         19.911
 8.2143      0.082         20.927
 8.1429      0.088         21.676
 8.0714      0.094         21.881
 8.0000      0.100         19.840
