# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020         11.909
 8.8571      0.026         15.688
 8.7857      0.032         19.423
 8.7143      0.038         23.107
 8.6429      0.045         26.731
 8.5714      0.051         30.282
 8.5000      0.057         33.743
 8.4286      0.063         37.088
 8.3571      0.069         40.281
 8.2857      0.075         43.260
 8.2143      0.082         45.919
 8.1429      0.088         48.029
 8.0714      0.094         48.928
 8.0000      0.100         40.540
