# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.670
 8.8571      0.026         12.194
 8.7857      0.032         15.671
 8.7143      0.038         19.095
 8.6429      0.045         22.455
 8.5714      0.051         25.738
 8.5000      0.057         28.927
 8.4286      0.063         31.997
 8.3571      0.069         34.911
 8.2857      0.075         37.610
 8.2143      0.082         39.989
 8.1429      0.088         41.834
 8.0714      0.094         42.539
 8.0000      0.100         36.274
