 lambda   Irr_dw            Rad_up 
 630.512  1.3817932587e+00  3.3644636937e-02 
 631.338  1.3747149521e+00  3.3555045594e-02 
 632.164  1.3711632042e+00  3.3542697779e-02 
 632.991  1.3716067876e+00  3.3644930349e-02 
 633.817  1.3722788670e+00  3.3759962422e-02 
 634.643  1.3704729211e+00  3.3799192710e-02 
 635.470  1.3682458755e+00  3.3809011385e-02 
 636.296  1.3695657066e+00  3.3895384056e-02 
 637.122  1.3745631659e+00  3.4064808216e-02 
 637.948  1.3779975130e+00  3.4185721077e-02 
 638.775  1.3750846172e+00  3.4143524573e-02 
 639.601  1.3671292860e+00  3.3975669483e-02 
 640.427  1.3594478619e+00  3.3804967747e-02 
 641.253  1.3555749082e+00  3.3699298889e-02 
 642.079  1.3552992850e+00  3.3638796587e-02 
 642.905  1.3563826729e+00  3.3559453822e-02 
 643.732  1.3563299499e+00  3.3380955962e-02 
 644.558  1.3538045815e+00  3.3036373334e-02 
 645.384  1.3498298309e+00  3.2534143497e-02 
 646.210  1.3473476099e+00  3.2000570033e-02 
 647.036  1.3476330478e+00  3.1592637551e-02 
 647.862  1.3473496555e+00  3.1361458539e-02 
 648.688  1.3422680830e+00  3.1255945519e-02 
 649.514  1.3345430734e+00  3.1243569306e-02 
 650.340  1.3317546822e+00  3.1340721140e-02 
 651.166  1.3364469900e+00  3.1514229925e-02 
 651.992  1.3423090698e+00  3.1656232717e-02 
 652.818  1.3408266921e+00  3.1625500221e-02 
 653.644  1.3253824388e+00  3.1248078710e-02 
 654.470  1.2932531472e+00  3.0437178190e-02 
 655.296  1.2530979023e+00  2.9443853969e-02 
 656.122  1.2265901819e+00  2.8844164210e-02 
 656.948  1.2305925632e+00  2.9050112642e-02 
 657.774  1.2588914195e+00  2.9880024072e-02 
 658.599  1.2905862032e+00  3.0796272991e-02 
 659.425  1.3123134450e+00  3.1462904243e-02 
 660.251  1.3240329895e+00  3.1876948006e-02 
 661.077  1.3299755634e+00  3.2128791938e-02 
 661.903  1.3317010036e+00  3.2235701498e-02 
 662.728  1.3291998139e+00  3.2193818307e-02 
 663.554  1.3243005928e+00  3.2069035238e-02 
 664.380  1.3202508633e+00  3.1965603518e-02 
 665.206  1.3182644413e+00  3.1923094613e-02 
 666.031  1.3169375784e+00  3.1903622506e-02 
 666.857  1.3155128700e+00  3.1883764577e-02 
 667.683  1.3150272198e+00  3.1885038325e-02 
 668.508  1.3153391975e+00  3.1894801655e-02 
 669.334  1.3141297361e+00  3.1848077190e-02 
1182.792  4.3028559881e-01  6.1998304453e-03 
1188.701  4.2565494686e-01  6.1404206359e-03 
1194.595  4.2922813863e-01  6.3528557991e-03 
1200.475  4.1799978325e-01  6.0778466224e-03 
1206.341  4.1769938205e-01  6.3828837541e-03 
1212.193  4.1301227490e-01  6.2846119603e-03 
1218.030  4.1269110901e-01  6.6831462087e-03 
1223.854  4.0819860213e-01  6.7496751370e-03 
1229.663  4.0461043866e-01  7.0066153932e-03 
1235.458  4.0038900782e-01  7.1201547036e-03 
1241.240  3.9521539815e-01  7.1600452367e-03 
1247.008  3.9163695350e-01  7.1134813677e-03 
1252.762  3.8568723563e-01  6.7634137077e-03 
1258.503  3.7995328882e-01  6.2193036439e-03 
1264.230  3.7082649935e-01  5.6076763081e-03 
1269.944  3.6768809523e-01  5.5946187827e-03 
1275.644  3.6935297113e-01  5.9001145876e-03 
1281.331  3.4531590203e-01  5.7237124910e-03 
