# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.336
 8.8571      0.026         11.624
 8.7857      0.032         14.869
 8.7143      0.038         18.065
 8.6429      0.045         21.202
 8.5714      0.051         24.268
 8.5000      0.057         27.249
 8.4286      0.063         30.119
 8.3571      0.069         32.846
 8.2857      0.075         35.374
 8.2143      0.082         37.606
 8.1429      0.088         39.342
 8.0714      0.094         40.013
 8.0000      0.100         33.960
