# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.032
 8.8571      0.026         10.829
 8.7857      0.032         13.588
 8.7143      0.038         16.301
 8.6429      0.045         18.963
 8.5714      0.051         21.561
 8.5000      0.057         24.081
 8.4286      0.063         26.503
 8.3571      0.069         28.797
 8.2857      0.075         30.914
 8.2143      0.082         32.769
 8.1429      0.088         34.187
 8.0714      0.094         34.681
 8.0000      0.100         30.103
