# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.735
 8.8571      0.026          9.627
 8.7857      0.032         11.490
 8.7143      0.038         13.318
 8.6429      0.045         15.107
 8.5714      0.051         16.848
 8.5000      0.057         18.530
 8.4286      0.063         20.138
 8.3571      0.069         21.650
 8.2857      0.075         23.031
 8.2143      0.082         24.221
 8.1429      0.088         25.097
 8.0714      0.094         25.343
 8.0000      0.100         23.078
