# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.448
 8.8571      0.026          9.854
 8.7857      0.032         12.226
 8.7143      0.038         14.559
 8.6429      0.045         16.845
 8.5714      0.051         19.075
 8.5000      0.057         21.237
 8.4286      0.063         23.312
 8.3571      0.069         25.274
 8.2857      0.075         27.081
 8.2143      0.082         28.658
 8.1429      0.088         29.853
 8.0714      0.094         30.248
 8.0000      0.100         26.543
