# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.227
 8.8571      0.026          8.630
 8.7857      0.032         10.010
 8.7143      0.038         11.362
 8.6429      0.045         12.682
 8.5714      0.051         13.964
 8.5000      0.057         15.199
 8.4286      0.063         16.375
 8.3571      0.069         17.476
 8.2857      0.075         18.476
 8.2143      0.082         19.328
 8.1429      0.088         19.947
 8.0714      0.094         20.117
 8.0000      0.100         18.862
