# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.098
 8.8571      0.026         10.995
 8.7857      0.032         13.853
 8.7143      0.038         16.665
 8.6429      0.045         19.423
 8.5714      0.051         22.116
 8.5000      0.057         24.730
 8.4286      0.063         27.243
 8.3571      0.069         29.624
 8.2857      0.075         31.823
 8.2143      0.082         33.753
 8.1429      0.088         35.233
 8.0714      0.094         35.760
 8.0000      0.100         30.909
