# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.827
 8.8571      0.026          9.153
 8.7857      0.032         10.455
 8.7143      0.038         11.731
 8.6429      0.045         12.976
 8.5714      0.051         14.184
 8.5000      0.057         15.347
 8.4286      0.063         16.454
 8.3571      0.069         17.487
 8.2857      0.075         18.424
 8.2143      0.082         19.220
 8.1429      0.088         19.793
 8.0714      0.094         19.948
 8.0000      0.100         18.856
