# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.934
 8.8571      0.026         10.820
 8.7857      0.032         13.667
 8.7143      0.038         16.470
 8.6429      0.045         19.218
 8.5714      0.051         21.903
 8.5000      0.057         24.510
 8.4286      0.063         27.016
 8.3571      0.069         29.393
 8.2857      0.075         31.590
 8.2143      0.082         33.520
 8.1429      0.088         35.005
 8.0714      0.094         35.542
 8.0000      0.100         30.604
