# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          6.824
 8.8571      0.026          8.375
 8.7857      0.032          9.902
 8.7143      0.038         11.401
 8.6429      0.045         12.867
 8.5714      0.051         14.293
 8.5000      0.057         15.671
 8.4286      0.063         16.988
 8.3571      0.069         18.225
 8.2857      0.075         19.354
 8.2143      0.082         20.325
 8.1429      0.088         21.037
 8.0714      0.094         21.229
 8.0000      0.100         19.400
