# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.857
 8.8571      0.026         10.435
 8.7857      0.032         12.978
 8.7143      0.038         15.479
 8.6429      0.045         17.931
 8.5714      0.051         20.323
 8.5000      0.057         22.643
 8.4286      0.063         24.871
 8.3571      0.069         26.979
 8.2857      0.075         28.921
 8.2143      0.082         30.620
 8.1429      0.088         31.911
 8.0714      0.094         32.344
 8.0000      0.100         28.263
