# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020         10.759
 8.8571      0.026         11.745
 8.7857      0.032         12.711
 8.7143      0.038         13.652
 8.6429      0.045         14.566
 8.5714      0.051         15.449
 8.5000      0.057         16.294
 8.4286      0.063         17.096
 8.3571      0.069         17.843
 8.2857      0.075         18.523
 8.2143      0.082         19.117
 8.1429      0.088         19.592
 8.0714      0.094         19.895
 8.0000      0.100         19.919
