# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.320
 8.8571      0.026         11.065
 8.7857      0.032         13.771
 8.7143      0.038         16.434
 8.6429      0.045         19.045
 8.5714      0.051         21.592
 8.5000      0.057         24.063
 8.4286      0.063         26.437
 8.3571      0.069         28.684
 8.2857      0.075         30.756
 8.2143      0.082         32.569
 8.1429      0.088         33.949
 8.0714      0.094         34.417
 8.0000      0.100         30.000
