# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.235
 8.8571      0.026         11.590
 8.7857      0.032         14.903
 8.7143      0.038         18.166
 8.6429      0.045         21.369
 8.5714      0.051         24.502
 8.5000      0.057         27.546
 8.4286      0.063         30.480
 8.3571      0.069         33.269
 8.2857      0.075         35.856
 8.2143      0.082         38.145
 8.1429      0.088         39.930
 8.0714      0.094         40.634
 8.0000      0.100         34.339
