# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.769
 8.8571      0.026          9.722
 8.7857      0.032         11.645
 8.7143      0.038         13.533
 8.6429      0.045         15.381
 8.5714      0.051         17.179
 8.5000      0.057         18.917
 8.4286      0.063         20.580
 8.3571      0.069         22.144
 8.2857      0.075         23.575
 8.2143      0.082         24.809
 8.1429      0.088         25.721
 8.0714      0.094         25.979
 8.0000      0.100         23.555
