# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.454
 8.8571      0.026         11.198
 8.7857      0.032         13.904
 8.7143      0.038         16.565
 8.6429      0.045         19.174
 8.5714      0.051         21.720
 8.5000      0.057         24.189
 8.4286      0.063         26.560
 8.3571      0.069         28.804
 8.2857      0.075         30.873
 8.2143      0.082         32.681
 8.1429      0.088         34.056
 8.0714      0.094         34.518
 8.0000      0.100         30.142
