 lambda   Irr_dw            Rad_up 
 630.512  1.3825795045e+00  4.1706767588e-02 
 631.338  1.3754964066e+00  4.1582340154e-02 
 632.164  1.3719416524e+00  4.1555605038e-02 
 632.991  1.3723839015e+00  4.1666130265e-02 
 633.817  1.3730542611e+00  4.1789199578e-02 
 634.643  1.3712449228e+00  4.1820241182e-02 
 635.470  1.3690140786e+00  4.1818872836e-02 
 636.296  1.3703319093e+00  4.1915843596e-02 
 637.122  1.3753291433e+00  4.2119123513e-02 
 637.948  1.3787621298e+00  4.2265673767e-02 
 638.775  1.3758442502e+00  4.2211174653e-02 
 639.601  1.3678812356e+00  4.1999713060e-02 
 640.427  1.3601925417e+00  4.1785662021e-02 
 641.253  1.3563148332e+00  4.1658283407e-02 
 642.079  1.3560368080e+00  4.1596434660e-02 
 642.905  1.3571187852e+00  4.1522675706e-02 
 643.732  1.3570644519e+00  4.1341869325e-02 
 644.558  1.3545369629e+00  4.0979137854e-02 
 645.384  1.3505601998e+00  4.0449353060e-02 
 646.210  1.3480770650e+00  3.9897275980e-02 
 647.036  1.3483624367e+00  3.9488632950e-02 
 647.862  1.3480773559e+00  3.9255745728e-02 
 648.688  1.3429901710e+00  3.9122592832e-02 
 649.514  1.3352573556e+00  3.9067697661e-02 
 650.340  1.3324638091e+00  3.9149720677e-02 
 651.166  1.3371554273e+00  3.9349791844e-02 
 651.992  1.3430178391e+00  3.9524535748e-02 
 652.818  1.3415320846e+00  3.9484237444e-02 
 653.644  1.3260772917e+00  3.9015801168e-02 
 654.470  1.2939289196e+00  3.8015477577e-02 
 655.296  1.2537503448e+00  3.6785064977e-02 
 656.122  1.2272259993e+00  3.6028330520e-02 
 656.948  1.2312270441e+00  3.6256572823e-02 
 657.774  1.2595366612e+00  3.7251896577e-02 
 658.599  1.2912437552e+00  3.8354290878e-02 
 659.425  1.3129782925e+00  3.9149547942e-02 
 660.251  1.3247002318e+00  3.9634560738e-02 
 661.077  1.3306424581e+00  3.9924402712e-02 
 661.903  1.3323657572e+00  4.0044864490e-02 
 662.728  1.3298607834e+00  3.9991333473e-02 
 663.554  1.3249568236e+00  3.9840202219e-02 
 664.380  1.3209026211e+00  3.9714847730e-02 
 665.206  1.3189125106e+00  3.9662091747e-02 
 666.031  1.3175824009e+00  3.9635982688e-02 
 666.857  1.3161549562e+00  3.9608744382e-02 
 667.683  1.3156676714e+00  3.9608016269e-02 
 668.508  1.3159785947e+00  3.9620575514e-02 
 669.334  1.3147669470e+00  3.9567876271e-02 
1182.792  4.3032342383e-01  8.5642302931e-03 
1188.701  4.2569195994e-01  8.4801147242e-03 
1194.595  4.2926517491e-01  8.7179380337e-03 
1200.475  4.1803496419e-01  8.3714663268e-03 
1206.341  4.1773371165e-01  8.6656913803e-03 
1212.193  4.1304594303e-01  8.5365033491e-03 
1218.030  4.1272399708e-01  8.9208301528e-03 
1223.854  4.0823073891e-01  8.9565109455e-03 
1229.663  4.0464184365e-01  9.1833050194e-03 
1235.458  4.0041948149e-01  9.2710191092e-03 
1241.240  3.9524493346e-01  9.2741522390e-03 
1247.008  3.9166575847e-01  9.1931809766e-03 
1252.762  3.8571505516e-01  8.8111050505e-03 
1258.503  3.7997976612e-01  8.2368131376e-03 
1264.230  3.7085078984e-01  7.5634396408e-03 
1269.944  3.6771181956e-01  7.5174024471e-03 
1275.644  3.6937768636e-01  7.8444205734e-03 
1281.331  3.4533929112e-01  7.5434065225e-03 
1287.004  3.6210981396e-01  7.9675064744e-03 
1292.665  3.6018335577e-01  7.6554488471e-03 
1298.312  3.5719505025e-01  7.2059030350e-03 
1503.952  2.3806403957e-01  3.0253325013e-03 
1509.148  2.4959356355e-01  3.5090597807e-03 
1514.333  2.4735062344e-01  3.6755859366e-03 
1519.509  2.4674232092e-01  3.7394373304e-03 
1524.675  2.4462344765e-01  3.9440333772e-03 
1529.831  2.4050484848e-01  3.8558469824e-03 
1534.978  2.4050381440e-01  3.7544254215e-03 
1540.114  2.3656401426e-01  3.8602814410e-03 
1545.242  2.3932853072e-01  3.9628549672e-03 
1550.360  2.3505073202e-01  3.9790049364e-03 
1555.468  2.3040289218e-01  3.8656206617e-03 
1560.567  2.3195886175e-01  4.0588060445e-03 
1565.657  2.2730093402e-01  3.9107051011e-03 
1570.738  2.2344346090e-01  3.8465494519e-03 
1575.809  2.1305227050e-01  3.7618951101e-03 
1580.872  2.2026867086e-01  3.7922836923e-03 
1585.926  2.1817143550e-01  3.8621492533e-03 
1590.971  2.1021149895e-01  3.8011972022e-03 
1596.007  2.1541115781e-01  3.9222988316e-03 
1601.035  2.1161119252e-01  3.8494086461e-03 
1606.054  2.1041614700e-01  3.9972256963e-03 
1611.064  2.0503477337e-01  3.8201419617e-03 
1616.066  2.0523528336e-01  3.7900320493e-03 
1621.060  2.0520587043e-01  3.9437398553e-03 
1626.045  2.0879970756e-01  4.0834567001e-03 
1631.023  2.0698655970e-01  4.0619336676e-03 
1635.992  2.0149022228e-01  3.7767877471e-03 
1640.954  1.9347010485e-01  3.5004311982e-03 
1645.907  1.9667330679e-01  3.7788301790e-03 
1650.852  1.9630297081e-01  3.7849465383e-03 
1655.790  1.9635805854e-01  3.8057173557e-03 
1660.720  1.9575747696e-01  3.7714520849e-03 
1665.643  1.9155637795e-01  3.5162786436e-03 
1670.558  1.8983342099e-01  3.6658505499e-03 
1675.466  1.8618874948e-01  3.8167691729e-03 
1680.366  1.7719198180e-01  3.6571903802e-03 
1685.259  1.8287681068e-01  3.7395165338e-03 
1690.145  1.8245121236e-01  3.6239132080e-03 
1695.024  1.8275233558e-01  3.6547168336e-03 
1699.896  1.7976795917e-01  3.4427713416e-03 
