# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.776
 8.8571      0.026         11.192
 8.7857      0.032         14.566
 8.7143      0.038         17.889
 8.6429      0.045         21.153
 8.5714      0.051         24.346
 8.5000      0.057         27.451
 8.4286      0.063         30.445
 8.3571      0.069         33.293
 8.2857      0.075         35.940
 8.2143      0.082         38.287
 8.1429      0.088         40.128
 8.0714      0.094         40.883
 8.0000      0.100         34.283
