# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.020
 8.8571      0.026          8.382
 8.7857      0.032          9.725
 8.7143      0.038         11.047
 8.6429      0.045         12.344
 8.5714      0.051         13.609
 8.5000      0.057         14.835
 8.4286      0.063         16.013
 8.3571      0.069         17.127
 8.2857      0.075         18.151
 8.2143      0.082         19.043
 8.1429      0.088         19.709
 8.0714      0.094         19.894
 8.0000      0.100         17.623
