# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.526
 8.8571      0.026         12.039
 8.7857      0.032         15.506
 8.7143      0.038         18.922
 8.6429      0.045         22.277
 8.5714      0.051         25.557
 8.5000      0.057         28.747
 8.4286      0.063         31.821
 8.3571      0.069         34.744
 8.2857      0.075         37.459
 8.2143      0.082         39.862
 8.1429      0.088         41.740
 8.0714      0.094         42.491
 8.0000      0.100         35.799
