# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.621
 8.8571      0.026         12.385
 8.7857      0.032         16.103
 8.7143      0.038         19.767
 8.6429      0.045         23.366
 8.5714      0.051         26.888
 8.5000      0.057         30.314
 8.4286      0.063         33.620
 8.3571      0.069         36.767
 8.2857      0.075         39.694
 8.2143      0.082         42.293
 8.1429      0.088         44.340
 8.0714      0.094         45.192
 8.0000      0.100         37.720
