# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.468
 8.8571      0.026         12.532
 8.7857      0.032         16.546
 8.7143      0.038         20.501
 8.6429      0.045         24.385
 8.5714      0.051         28.186
 8.5000      0.057         31.883
 8.4286      0.063         35.449
 8.3571      0.069         38.843
 8.2857      0.075         42.000
 8.2143      0.082         44.803
 8.1429      0.088         47.012
 8.0714      0.094         47.942
 8.0000      0.100         40.003
