# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.062
 8.8571      0.026         10.841
 8.7857      0.032         13.583
 8.7143      0.038         16.280
 8.6429      0.045         18.925
 8.5714      0.051         21.507
 8.5000      0.057         24.013
 8.4286      0.063         26.421
 8.3571      0.069         28.702
 8.2857      0.075         30.808
 8.2143      0.082         32.654
 8.1429      0.088         34.066
 8.0714      0.094         34.560
 8.0000      0.100         29.957
