# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.638
 8.8571      0.026          9.254
 8.7857      0.032         10.843
 8.7143      0.038         12.401
 8.6429      0.045         13.924
 8.5714      0.051         15.403
 8.5000      0.057         16.830
 8.4286      0.063         18.191
 8.3571      0.069         19.467
 8.2857      0.075         20.627
 8.2143      0.082         21.620
 8.1429      0.088         22.344
 8.0714      0.094         22.541
 8.0000      0.100         20.928
