# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020         10.327
 8.8571      0.026         14.093
 8.7857      0.032         17.804
 8.7143      0.038         21.452
 8.6429      0.045         25.024
 8.5714      0.051         28.506
 8.5000      0.057         31.878
 8.4286      0.063         35.112
 8.3571      0.069         38.165
 8.2857      0.075         40.973
 8.2143      0.082         43.420
 8.1429      0.088         45.272
 8.0714      0.094         45.898
 8.0000      0.100         40.648
