# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.060
 8.8571      0.026         11.067
 8.7857      0.032         14.035
 8.7143      0.038         16.956
 8.6429      0.045         19.822
 8.5714      0.051         22.622
 8.5000      0.057         25.340
 8.4286      0.063         27.957
 8.3571      0.069         30.438
 8.2857      0.075         32.734
 8.2143      0.082         34.755
 8.1429      0.088         36.314
 8.0714      0.094         36.890
 8.0000      0.100         31.628
