# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          5.380
 8.8571      0.026          7.303
 8.7857      0.032          9.199
 8.7143      0.038         11.064
 8.6429      0.045         12.892
 8.5714      0.051         14.677
 8.5000      0.057         16.408
 8.4286      0.063         18.071
 8.3571      0.069         19.645
 8.2857      0.075         21.097
 8.2143      0.082         22.369
 8.1429      0.088         23.340
 8.0714      0.094         23.678
 8.0000      0.100         20.604
