# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.437
 8.8571      0.026         11.851
 8.7857      0.032         15.220
 8.7143      0.038         18.539
 8.6429      0.045         21.797
 8.5714      0.051         24.983
 8.5000      0.057         28.080
 8.4286      0.063         31.064
 8.3571      0.069         33.900
 8.2857      0.075         36.531
 8.2143      0.082         38.858
 8.1429      0.088         40.672
 8.0714      0.094         41.386
 8.0000      0.100         34.993
