# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.910
 8.8571      0.026          9.198
 8.7857      0.032         10.464
 8.7143      0.038         11.702
 8.6429      0.045         12.910
 8.5714      0.051         14.081
 8.5000      0.057         15.207
 8.4286      0.063         16.277
 8.3571      0.069         17.276
 8.2857      0.075         18.179
 8.2143      0.082         18.946
 8.1429      0.088         19.501
 8.0714      0.094         19.665
 8.0000      0.100         18.754
