# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.276
 8.8571      0.026         12.070
 8.7857      0.032         15.816
 8.7143      0.038         19.509
 8.6429      0.045         23.136
 8.5714      0.051         26.685
 8.5000      0.057         30.139
 8.4286      0.063         33.471
 8.3571      0.069         36.644
 8.2857      0.075         39.595
 8.2143      0.082         42.218
 8.1429      0.088         44.287
 8.0714      0.094         45.158
 8.0000      0.100         37.620
