# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.567
 8.8571      0.026         12.038
 8.7857      0.032         15.464
 8.7143      0.038         18.839
 8.6429      0.045         22.153
 8.5714      0.051         25.394
 8.5000      0.057         28.544
 8.4286      0.063         31.580
 8.3571      0.069         34.466
 8.2857      0.075         37.144
 8.2143      0.082         39.514
 8.1429      0.088         41.363
 8.0714      0.094         42.095
 8.0000      0.100         35.540
