# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.833
 8.8571      0.026          9.490
 8.7857      0.032         11.121
 8.7143      0.038         12.720
 8.6429      0.045         14.283
 8.5714      0.051         15.803
 8.5000      0.057         17.269
 8.4286      0.063         18.668
 8.3571      0.069         19.981
 8.2857      0.075         21.175
 8.2143      0.082         22.198
 8.1429      0.088         22.944
 8.0714      0.094         23.143
 8.0000      0.100         21.390
