# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.525
 8.8571      0.026          8.885
 8.7857      0.032         10.222
 8.7143      0.038         11.531
 8.6429      0.045         12.808
 8.5714      0.051         14.047
 8.5000      0.057         15.240
 8.4286      0.063         16.376
 8.3571      0.069         17.437
 8.2857      0.075         18.398
 8.2143      0.082         19.217
 8.1429      0.088         19.809
 8.0714      0.094         19.977
 8.0000      0.100         18.882
