# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.941
 8.8571      0.026          9.504
 8.7857      0.032         11.041
 8.7143      0.038         12.548
 8.6429      0.045         14.020
 8.5714      0.051         15.450
 8.5000      0.057         16.829
 8.4286      0.063         18.144
 8.3571      0.069         19.376
 8.2857      0.075         20.496
 8.2143      0.082         21.452
 8.1429      0.088         22.146
 8.0714      0.094         22.328
 8.0000      0.100         20.782
