# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.736
 8.8571      0.026         12.126
 8.7857      0.032         15.472
 8.7143      0.038         18.767
 8.6429      0.045         22.002
 8.5714      0.051         25.164
 8.5000      0.057         28.237
 8.4286      0.063         31.197
 8.3571      0.069         34.008
 8.2857      0.075         36.614
 8.2143      0.082         38.915
 8.1429      0.088         40.703
 8.0714      0.094         41.392
 8.0000      0.100         35.149
